,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr
85,Oracle Corp,2000000,0.4,100,58.43,45.93,58.43,73.03,89.19,112.09,129.09,153.28,178.79
86,Ovintiv Inc,2000000,0.4,100,46.79,40.82,46.79,60.63,72.37,88.58,102.8,145.08,172.21
87,Packaging Corp o,2000000,0.4,100,13.22,12.08,13.22,17.85,24.96,30.97,37.01,53.25,71.69
88,Paramount Globa,2000000,0.4,100,28.96,32.43,28.96,48.15,76.96,113.68,138.5,180.5,201.1
89,Pfizer Inc,2000000,0.4,100,13.54,12.79,13.54,18.19,25.53,30.31,36.22,49.7,68.24
90,Prudential Finan,2000000,0.4,100,26.4,21.13,26.4,36.17,46.57,56.68,67.05,90,108.25
91,PulteGroup Inc,2000000,0.4,500,30.46,30.46,30.46,41.94,53.76,65.61,72.38,102.64,126.84
92,Quest Diagnostic,2000000,0.4,100,13.43,8.45,13.43,17.15,22.52,28.1,32.43,52.46,70.49
93,Radian Group Inc,2000000,0.4,500,33.23,22.02,33.23,49.71,65.15,79.46,98.22,125.02,148.14
94,Royal Caribbean,2000000,0.4,500,31.18,23.89,31.18,49.66,60.64,69.64,83.11,119.71,141.04
95,RTX Corp,2000000,0.4,100,14.7,11.17,14.7,20.83,28.54,33.03,37.96,54.45,67.47
96,Ryder System In,2000000,0.4,100,18.31,15.5,18.31,29.26,40.58,54.67,65.55,93.5,120.24
97,Sempra,2000000,0.4,100,12.21,9,12.21,18.78,24.97,30.98,36.14,55.02,71.83
98,Southwest Airline,2000000,0.4,100,42.38,34.61,42.38,63.68,78.59,95.47,111.95,147.13,169.09
99,T-Mobile USA Inc,2000000,0.4,500,22.56,20.67,22.56,27.09,34.35,43.74,50.5,69.33,86.41
100,Target Corp,2000000,0.4,100,18.86,13.44,18.86,26.75,34.56,41.53,50.05,65.19,78.62
101,Teck Resources,2000000,0.4,500,18.12,13.12,18.12,25.65,33.13,41.5,47.69,79.27,101.55
102,AES Corp/The,2000000,0.4,500,37.16,20.96,37.16,56.73,74.98,92.32,109.51,149.8,170.02
103,Allstate Corp/Th,2000000,0.4,100,11.37,9.46,11.37,15.66,20.14,25.14,29.96,41.42,51.17
104,Boeing Co/The,2000000,0.4,100,35.82,30.86,35.82,43.86,54.3,61.95,72.44,90.98,104.91
105,Campbell's Comp,2000000,0.4,100,19.59,15.59,19.59,26.05,35.99,44.41,56.12,84.29,104.86
106,Dow Chemical Co,2000000,0.4,100,30.33,23,30.33,44.47,62.75,81.47,100.39,131.85,154.15
107,Home Depot Inc/,2000000,0.4,100,13.36,11.36,13.36,17.87,21.07,24,30.39,45.09,60.29
108,Kroger Co/The,2000000,0.4,100,15.11,12.11,15.11,20.68,26.1,33.14,40.25,60.1,75.46
109,PNC Financial Se,2000000,0.4,100,30.22,28.45,30.22,37.24,43.23,49.92,54.78,72.76,86.03
110,Procter & Gambl,2000000,0.4,100,15.34,12.12,15.34,17.34,20.49,22.34,25.22,35.25,46.34
111,Sherwin-Williams,2000000,0.4,100,19.47,15.91,19.47,24.75,32.48,40.6,48.75,72.36,89.96
112,Southern Co/The,2000000,0.4,100,18.02,12.62,18.02,26.21,32.4,37.35,41.68,61.51,78.56
113,Walt Disney Co/T,2000000,0.4,100,18.96,16.59,18.96,22.74,28.59,33.13,37.69,51.55,62.71
114,Williams Cos Inc,2000000,0.4,100,18.06,16.11,18.06,24.25,33.76,44.06,53.03,81.05,102.18
115,Toll Brothers Inc,2000000,0.4,100,32.67,29.29,32.67,45.04,56.75,72.6,81.74,120.97,147.51
116,TransCanada Pip,2000000,0.4,100,19.45,14.13,19.45,25.99,35.43,44.91,54.5,80.41,103.75
117,Tyson Foods Inc,2000000,0.4,100,19.05,15.57,19.05,24.6,34.26,41.23,48.36,69.55,89.15
118,Union Pacific Cor,2000000,0.4,100,10.65,7.46,10.65,13.96,18.16,21.99,25.23,39.33,54.03
119,United Parcel Se,2000000,0.4,100,14.95,11.25,14.95,18.21,23.17,28.34,34.01,49.93,63.51
120,UnitedHealth Gro,2000000,0.4,100,20.47,17.5,20.47,25.96,32.47,37.98,44.16,63.08,78.75
121,Valero Energy Co,2000000,0.4,100,16.05,15.21,16.05,22.99,32.31,43.68,52.4,82.61,104.95
122,Verizon Commun,2000000,0.4,100,31.14,25.62,31.14,36.43,44.78,52.52,61.07,79.14,98.7
123,Walmart Inc,2000000,0.4,100,11.08,9.22,11.08,15.33,18.53,21.76,25.46,39.3,51.21
124,Weyerhaeuser Co,2000000,0.4,100,12.1,10.63,12.1,16.73,23.95,27.31,32.89,49.28,67.37
125,Simon Property,2000000,0.4,100,21.18,20.2,21.18,28.43,36.64,45.16,52.3,85.3,102.65
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
